what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.traceview,22.2.1.v201309180102-833290,"com.android.ide.eclipse.traceview",1380245063647
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380245071327
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380245071371
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380245074563
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380245080133
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1380245150761
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380245493236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380245494366
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380245679079
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380245681076
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380245689033
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1380245689224
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380245690966
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380245883429
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380245883910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380247055472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380247059917
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380247076947
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380247081155
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380247146411
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1380247151568
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1380247151572
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1380247151606
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1380247151624
