what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380990787194
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1380990787802
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1380990788208
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380990788286
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380990849192
opened,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1380990855822
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1380990856150
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380990860206
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380990890860
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380990893746
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1380990894292
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1380990899331
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1380990899393
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380990903200
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380990904697
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380990906756
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380990909518
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380990912606
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991139744
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991145781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991159930
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991170382
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991409415
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1380991423554
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1380991423555
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380991425141
closed,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1380991425141
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1380991425963
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1380991426026
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991426643
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991429255
started,bundle,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms",1380991429744
started,bundle,com.android.ide.eclipse.traceview,22.2.1.v201309180102-833290,"com.android.ide.eclipse.traceview",1380991435669
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991465086
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991476925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991495428
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991510107
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380991530439
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380991530781
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380991530891
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991557004
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991580064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991601610
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991605122
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991606677
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991608143
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380991611066
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1380991616394
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1380991616471
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991618996
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991651652
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991656008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991657214
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991659371
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991665226
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1380991685522
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991687279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991710619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991715016
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991735956
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1380991738010
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1380991740283
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991742063
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991932139
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1380991935187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1380991937129
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991938696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991940660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380991941952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992235897
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992239296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992240913
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380992243050
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1380992249790
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1380992249851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1380992254651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1380992258959
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992261391
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992282762
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1380992284881
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1380992287451
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1380992291929
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1380992295232
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992300199
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992379022
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1380992379054
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992382758
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992388582
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1380992390688
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1380992392138
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1380992397577
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992399627
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992423815
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1380992423841
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1380992424915
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1380992427784
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1380992437480
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992438894
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992452910
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992456788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992475543
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992482210
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992484066
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1380992497981
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1380992501844
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1380992502509
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1380992505049
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1380992509513
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1380992511405
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1380992512105
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1380992514805
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1380992514910
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1380992515437
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1380992515471
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1380992515684
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1380992515843
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1380992515984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1380992516124
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1380992516270
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1380992516808
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1380992518259
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992525197
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992550244
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992555257
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992701404
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1380992701419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992704959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992885582
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992892758
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992894068
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380992894458
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1380992895036
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1380992895036
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1380992895067
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1380992895207
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1384272651876
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1384272651876
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1384272651886
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1384272651886
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1384272651886
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1384272651896
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1384272651896
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1384272651896
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1384272651896
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1384272651906
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1384272651916
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1384272651916
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1384272651956
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1384272651956
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1384272651966
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1384272651966
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1384272651966
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1384272651966
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1384272651966
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1384272651976
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1384272651976
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1384272651976
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1384272651976
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1384272651976
